CEA-10068,CÉGEP Marie-Victorin,"7000 Rue Marie-Victorin, Montréal, QC, H1G 2J6",Level2,45.618641,-73.604986,"2,50 $ (CAD) par session"
CEA-11482,1101 | BSR | MN | 5195 Alfred,"5195 Alfred, Montréal, QC, H1G 5B9",Level2,45.60424,-73.628686,"1,00 $ (CAD) de l'heure"
CEA-11483,1101 | BSR | MN | 5195 Alfred,"5195 Alfred, Montréal, QC, H1G 5B9",Level2,45.60424,-73.628686,"1,00 $ (CAD) de l'heure"
CEA-180,1182 | BHR | MN | 12000 Rolland : Aréna Henri-Bourassa,"12000 Boulevard Rolland, Montréal-Nord, QC, H1H 1M6",Level2,45.615812,-73.620915,"2,50 $ (CAD) par session"
CEB-10172,St-Hubert - Pie-IX,"10495 boul. Pie-IX, Montréal-Nord, QC, H1H 4A3",Level2,45.587459564209,-73.6335830688477,"1,00 $ (CAD) de l'heure"
CEA-179,1180 | BHR | MN | 4243 de Charleroi : Hôtel de Ville,"4243 rue de Charleroi, Montréal, QC, H1H 5R5",Level2,45.594043,-73.63755,"2,50 $ (CAD) par session"
CEA-167,1180 | BHR | MN | 4243 de Charleroi : Hôtel de Ville,"4243 rue de Charleroi, Montréal, QC, H1H 5R5",Level2,45.594043,-73.63755,"2,50 $ (CAD) par session"
CEA-135,1081 | BHR | ANJ | 7800 Métropolitain Est : Centre communautaire,"7800 boul. Métropolitain Est, Montréal, QC, H1K 1A1",Level2,45.606483,-73.563324,"2,50 $ (CAD) par session"
CEA-089,1080 | BHR | ANJ | 8621 Avenue Chaumont (côté Nord),"8621 Avenue Chaumont, Montréal, QC, H1K 1N3",Level2,45.610535,-73.54809,"2,50 $ (CAD) par session"
CEA-433,St-Hubert - Honoré-Beaugrand,"7870 Sherbrooke Est , Montréal, QC, H1L 1A5",Level2,45.5957020632717,-73.5348584656952,"1,00 $ (CAD) de l'heure"
CEA-11140,423 | BSR | MHM | 9546 Sherbrooke E,"9546 Sherbrooke E, Montréal, QC, H1L 1E8",Level2,45.611736,-73.525782,"1,00 $ (CAD) de l'heure"
CEA-11142,423 | BSR | MHM | 9546 Sherbrooke E,"9546 Sherbrooke E, Montréal, QC, H1L 1E8",Level2,45.611736,-73.525782,"1,00 $ (CAD) de l'heure"
CEA-10322,402 | BSR | MHM | 8646 Hochelaga,"8646 Rue Hochelaga, Montréal, QC, H1L 2M4",Level2,45.600718,-73.519923,"1,00 $ (CAD) de l'heure"
CEA-10330,402 | BSR | MHM | 8646 Hochelaga,"8646 Rue Hochelaga, Montréal, QC, H1L 2M4",Level2,45.600718,-73.519923,"1,00 $ (CAD) de l'heure"
CEA-098,481 | BHR | MHM | 8780 Dubuisson : Aréna Clément-Jetté,"8780 avenue Dubuisson, Montréal, QC, H1L 2W6",Level2,45.601836,-73.516419,"2,50 $ (CAD) par session"
CEA-081,481 | BHR | MHM | 8780 Dubuisson : Aréna Clément-Jetté,"8780 avenue Dubuisson, Montréal, QC, H1L 2W6",Level2,45.601836,-73.516419,"2,50 $ (CAD) par session"
CEA-10777,418 | BSR | MHM | 8355 Notre-Dame,"8355 Notre-Dame, Montréal, QC, H1L 3L2",Level2,45.594272,-73.511316,"1,00 $ (CAD) de l'heure"
CEA-10747,418 | BSR | MHM | 8355 Notre-Dame,"8355 Notre-Dame, Montréal, QC, H1L 3L2",Level2,45.594272,-73.511316,"1,00 $ (CAD) de l'heure"
CEA-10736,418 | BSR | MHM | 8355 Notre-Dame,"8355 Notre-Dame, Montréal, QC, H1L 3L2",Level2,45.594272,-73.511316,"1,00 $ (CAD) de l'heure"
CEA-10299,418 | BSR | MHM | 8355 Notre-Dame,"8355 Notre-Dame, Montréal, QC, H1L 3L2",Level2,45.594272,-73.511316,"1,00 $ (CAD) de l'heure"
CEA-11194,425 | BSR | MHM | 369 Contrecoeur ,"369 Rue de Contrecoeur, Montréal, QC, H1L 3Y4",Level2,45.609253,-73.510823,"1,00 $ (CAD) de l'heure"
CEA-11003,425 | BSR | MHM | 369 Contrecoeur ,"369 Rue de Contrecoeur, Montréal, QC, H1L 3Y4",Level2,45.609253,-73.510823,"1,00 $ (CAD) de l'heure"
AAA-10295,FLO - CF Galeries d’Anjou,"7999 Boulevard des Galeries d'Anjou, Anjou, QC, H1M 1W9",Level2,45.599421,-73.56296,"1,25 $ (CAD) de l'heure"
AAA-10570,FLO - CF Galeries d’Anjou,"7999 Boulevard des Galeries d'Anjou, Anjou, QC, H1M 1W9",Level2,45.602637,-73.564912,"1,25 $ (CAD) de l'heure"
AAA-10299,FLO - CF Galeries d’Anjou,"7999 Boulevard des Galeries d'Anjou, Anjou, QC, H1M 1W9",Level2,45.599421,-73.56296,"1,25 $ (CAD) de l'heure"
AAC-00070,FLO - CF Galeries d’Anjou,"7999 Boulevard des Galeries d'Anjou, Anjou, QC, H1M 1W9",FastDC,45.599421,-73.56296,"15,00 $ (CAD) de l'heure"
AAA-10419,FLO - CF Galeries d’Anjou,"7999 Boulevard des Galeries d'Anjou, Anjou, QC, H1M 1W9",Level2,45.602637,-73.564912,"1,25 $ (CAD) de l'heure"
CEB-10009,RONA - Anjou,"7273 boul. des Galeries-d'Anjou, Anjou, QC, H1M 2W2",Level2,45.5977668762207,-73.5607376098633,"1,00 $ (CAD) de l'heure"
CEB-10023,RONA - Anjou,"7273 boul. des Galeries-d'Anjou, Anjou, QC, H1M 2W2",Level2,45.5977668762207,-73.5607376098633,"1,00 $ (CAD) de l'heure"
