,id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
1326,CEA-10707,410 | BSR | MHM | 3150 Sainte-Catherine E,"3150 Rue Sainte-Catherine E, Montréal, QC",H1W 2C3,Level2,45.538602,-73.541466,"1,00 $ (CAD) de l'heure","3150 Rue Sainte-Catherine E, Montréal, QC H1W 2C3, Canada",45.5385544,-73.5414806,Montréal,QC
1327,CEA-10929,812 | BSR | SO | 2441 Notre-Dame,"2441A Notre-Dame, Montréal, QC",H3J 1N6,Level2,45.483512,-73.57468100000001,"1,00 $ (CAD) de l'heure","2441 Rue Notre-Dame Ouest, Montréal, QC H3J 1N6, Canada",45.4833877,-73.5746749,Montréal,QC
1337,CEA-391,Terrebonne - Parc Marcel-De La Sablonnière,"21e Avenue, Terrebonne, QC",J6Y 1G5,Level2,45.684674,-73.727633,"1,00 $ (CAD) de l'heure","21e Avenue, Montréal, QC, Canada",45.5646292,-73.58924350000001,Montréal,QC
1343,CEA-10270,405 | BSR | MHM | 2500 Théodore,"2500 Rue Théodore, Montréal, QC",H1V 3C6,Level2,45.560128,-73.54373199999999,"1,00 $ (CAD) de l'heure","2500 Rue Théodore, Montréal, QC H1V 3C6, Canada",45.5599999,-73.5436605,Montréal,QC
1344,CEA-10851,713 | BSR | CDN-NDG | 5468 Claranald,"5468 Claranald, Montréal, QC",H3X 2S7,Level2,45.483967,-73.637694,"1,00 $ (CAD) de l'heure","5468 Avenue Clanranald, Montréal, QC H3X 2S3, Canada",45.4837375,-73.63781469999999,Montréal,QC
1346,CEA-10737,222 | BSR | VSMPE | 3232 Bélanger,"3232 Rue Bélanger, Montréal, QC",H1Y 3H5,Level2,45.556924,-73.59442,"1,00 $ (CAD) de l'heure","3232 Rue Bélanger, Montréal, QC H1Y 3H5, Canada",45.556686,-73.594117,Montréal,QC
1347,CEA-10598,511 | BSR | PMR | 2755 Hogan,"2755 Rue Hogan, Montréal, QC",H2K 2T5,Level2,45.53871,-73.560538,"1,00 $ (CAD) de l'heure","2755 Rue Hogan, Montréal, QC H2K 2T5, Canada",45.5384011,-73.5593526,Montréal,QC
1348,CEA-10338,805 | BSR | SO | 1010 rue Charlevoix,"1010 rue Charlevoix, Montréal, QC",H3K 3G8,Level2,45.477045,-73.566929,"1,00 $ (CAD) de l'heure","1010 Rue Charlevoix, Montréal, QC H3K 2Z1, Canada",45.476689,-73.56724399999999,Montréal,QC
1357,CEA-11135,232 | BSR | VSMPE | 9309 De Lille,"9039 Rue de Lille, Montréal, QC",H1Z 2P4,Level2,45.569295,-73.636234,"1,00 $ (CAD) de l'heure","9039 Rue de Lille, Montréal, QC H1Z 2P4, Canada",45.5692345,-73.63656,Montréal,QC
1358,CEA-357,Collège Ahuntsic,"9155 rue Saint-Hubert, Montréal, QC",H2M 1Y8,Level2,45.551445,-73.64164,"1,00 $ (CAD) de l'heure","9155 Rue St-Hubert, Montréal, QC H2M 1Y9, Canada",45.552283200000005,-73.6421462,Montréal,QC
1363,CEA-10816,RIO - Parc Olympique 2,"3200 Rue Viau, Montréal, QC",H1V 3N7,Level2,45.560388,-73.55135,"2,50 $ (CAD) par session","3200 Rue Viau, Montréal, QC H1V 3J3, Canada",45.55976210000001,-73.5514912,Montréal,QC
1364,CEA-10357,204 | BSR | VSMPE | 299 Jean-Talon E,"299 rue Jean-Talon E, Montréal, QC",H2R 1S9,Level2,45.536993,-73.615789,"1,00 $ (CAD) de l'heure","299 Rue Jean-Talon Est, Montréal, QC H2R 1S9, Canada",45.537100099999996,-73.61589509999999,Montréal,QC
1372,CEA-10580,312 | BSR | RPP | 1315 Bellechasse,"1315 Bellechasse, Montréal, QC",H2G 1N8,Level2,45.538598,-73.596221,"1,00 $ (CAD) de l'heure","1315 Rue de Bellechasse, Montréal, QC H2G 1N8, Canada",45.538821999999996,-73.59637729999999,Montréal,QC
1373,CEA-10657,103 | BSR | AC | 9475 Lajeunesse,"9475 Lajeunesse, Montréal, QC",H2M 1S5,Level2,45.550257,-73.650896,"1,00 $ (CAD) de l'heure","9475 Rue Lajeunesse, Montréal, QC H2M 1S5, Canada",45.550334899999996,-73.650802,Montréal,QC
1375,CEA-10375 ,705 | BSR | CDN-NDG | 3333 Côte Ste-Catherin,"3333 Côte Ste-Catherine, Montréal, QC",H1W 2C7,Level2,45.500176,-73.62619699999999,"1,00 $ (CAD) de l'heure","3333 Chemin de la Côte-Sainte-Catherine, Montréal, QC H3S 2C5, Canada",45.500605799999995,-73.62621709999999,Montréal,QC
1385,CEA-11253,282 | BHR | VSMPE | 9235 Papineau : Stade de Soccer de Montréal,"9235 Avenue Papineau, Montréal, QC",H2M 2G5,Level2,45.562243,-73.63818,"2,50 $ (CAD) par session","9235 Rue Papineau, Montréal, QC H2M 2G5, Canada",45.562889500000004,-73.63885450000001,Montréal,QC
1386,CEA-11478,424 | BSR | MHM | 6040 La Fontaine,"6040 La Fontaine, Montréal, QC",H1N 2B6,Level2,45.570197,-73.525253,"1,00 $ (CAD) de l'heure","6040 Rue la Fontaine, Montréal, QC H1N 2B7, Canada",45.5701935,-73.5251676,Montréal,QC
1387,CEA-10869,322 | BSR | RPP | 2900 Masson,"2900 Masson, Montréal, QC",H1Y 1X3,Level2,45.548219,-73.57472299999999,"1,00 $ (CAD) de l'heure","2900 Rue Masson, Montréal, QC H1Y, Canada",45.5483017,-73.5744184,Montréal,QC
1392,CEA-11147,635 | BSR | VM | 799 De La Commune,"799 De La Commune, Ville-Marie, QC",H3C 1Y1,Level2,45.495752,-73.552719,"1,00 $ (CAD) de l'heure","799 Rue de la Commune O, Montréal, QC H3C 1Y1, Canada",45.495422999999995,-73.55288890000001,Montréal,QC
